city,company_addr,company_industry,company_name,create_time,day_salary,district,job_direction,job_edu,job_exp,job_name,month_salary,publish_man,publish_man_post,publish_time,retain1,retain2,retain3,retain4,source,update_time,url
北京,朝阳区,"移动互联网,金融",福州必全网络科技有限公司,,,朝阳区,4,本科,应届毕业生,python程序员（实习生）,3k-4k,必全网络,必全网络,2018-11-07 15:39:59,,,,,拉勾网,,https://www.lagou.com/jobs/5301159.html
北京,大兴区,"移动互联网,硬件",北京罗威亚科技有限公司,,,大兴区,4,本科,应届毕业生,Python【实习生】,5k-10k,罗威亚科技,罗威亚科技,2018-11-08 17:04:50,,,,,拉勾网,,https://www.lagou.com/jobs/1744860.html
北京,朝阳区,"硬件,教育",小叶子（北京）科技有限公司,,,朝阳区,4,本科,不限,python实习生,3k-4k,The ONE,The ONE,2018-11-07 11:42:27,,,,,拉勾网,,https://www.lagou.com/jobs/5156054.html
北京,朝阳区,"移动互联网,金融",北京格上添富科技发展有限公司,,,朝阳区,4,本科,不限,Python应届毕业生,5k-8k,格上添富,格上添富,2018-10-29 17:18:32,,,,,拉勾网,,https://www.lagou.com/jobs/1724711.html
北京,海淀区,移动互联网,北京小度互娱科技有限公司,,,海淀区,4,本科,应届毕业生,Python开发实习生,3k-4k,百度视频,百度视频,2018-11-08 12:33:53,,,,,拉勾网,,https://www.lagou.com/jobs/4169100.html
北京,海淀区,"移动互联网,数据服务",北京字节跳动科技有限公司,,,海淀区,2,本科,不限,C++开发实习生,3k-6k,字节跳动,字节跳动,2018-11-09 00:05:50,,,,,拉勾网,,https://www.lagou.com/jobs/5119066.html
北京,海淀区,"移动互联网,教育",小船出海教育科技（北京）有限公司,,,海淀区,2,本科,应届毕业生,C++实习生(J10836),3k-5k,作业帮,作业帮,2018-11-08 12:06:20,,,,,拉勾网,,https://www.lagou.com/jobs/4984477.html
北京,海淀区,移动互联网,北京天学网教育科技股份有限公司,,,海淀区,2,本科,应届毕业生,C++工程师,6k-12k,天学网,天学网,2018-11-06 09:51:33,,,,,拉勾网,,https://www.lagou.com/jobs/5293585.html
北京,朝阳区,"移动互联网,教育",北京粉笔蓝天科技有限公司,,,朝阳区,2,本科,应届毕业生,C++开发实习生,8k-12k,粉笔网,粉笔网,2018-11-08 17:09:03,,,,,拉勾网,,https://www.lagou.com/jobs/5078440.html
北京,昌平区,"企业服务,数据服务",北京奇简云科技有限公司,,,昌平区,2,本科,应届毕业生,C++开发实习生,5k-10k,Terark,Terark,2018-10-15 16:59:51,,,,,拉勾网,,https://www.lagou.com/jobs/3781520.html
北京,海淀区,医疗健康,北京图湃影像科技有限公司,,,海淀区,2,本科,应届毕业生,c++开发工程师,3k-6k,图湃影像,图湃影像,2018-11-07 09:10:31,,,,,拉勾网,,https://www.lagou.com/jobs/5058441.html
北京,朝阳区,"企业服务,数据服务",北京数美时代科技有限公司,,,朝阳区,2,本科,不限,C++研发（校招／实习）,3k-6k,数美,数美,2018-11-08 10:28:13,,,,,拉勾网,,https://www.lagou.com/jobs/4045893.html
北京,海淀区,移动互联网,北京一维弦科技有限责任公司,,,海淀区,2,本科,应届毕业生,C++软件实习生,3k-5k,一维弦,一维弦,2018-11-06 10:23:56,,,,,拉勾网,,https://www.lagou.com/jobs/4507305.html
北京,朝阳区,硬件,北京盈迪曼德科技有限公司,,,朝阳区,2,本科,不限,C++(ROS)开发实习生,4k-6k,INDEMIND,INDEMIND,2018-11-05 12:36:07,,,,,拉勾网,,https://www.lagou.com/jobs/4799174.html
北京,海淀区,"数据服务,信息安全",互联网域名系统北京市工程研究中心有限公司,,,海淀区,2,本科,不限,C++开发工程师（实习生）,3k-5k,ZDNS,ZDNS,2018-10-29 15:37:25,,,,,拉勾网,,https://www.lagou.com/jobs/5228493.html
北京,海淀区,"硬件,企业服务",北京原子机器人科技有限公司,,,海淀区,2,本科,应届毕业生,C/C++软件开发实习生,3k-6k,原子机器人,原子机器人,2018-11-05 15:41:54,,,,,拉勾网,,https://www.lagou.com/jobs/4605568.html
北京,海淀区,信息安全,北京中科网航安全技术有限公司,,,海淀区,2,本科,应届毕业生,C/C++开发实习生,4k-5k,中科网航,中科网航,2018-11-02 17:35:17,,,,,拉勾网,,https://www.lagou.com/jobs/3700203.html
北京,海淀区,"移动互联网,数据服务",北京字节跳动科技有限公司,,,海淀区,2,本科,不限,C++研发实习生-抖音/火山,6k-8k,字节跳动,字节跳动,2018-11-08 15:41:06,,,,,拉勾网,,https://www.lagou.com/jobs/5123689.html
北京,海淀区,"移动互联网,数据服务",北京字节跳动科技有限公司,,,海淀区,2,本科,不限,Rust/C++研发实习生,8k-10k,字节跳动,字节跳动,2018-11-08 15:46:09,,,,,拉勾网,,https://www.lagou.com/jobs/5290265.html
北京,昌平区,"企业服务,数据服务",北京奇简云科技有限公司,,,昌平区,2,硕士,应届毕业生,C++算法实习生,7k-14k,Terark,Terark,2018-10-10 17:38:45,,,,,拉勾网,,https://www.lagou.com/jobs/3781534.html
北京,朝阳区,社交网络,北京陌陌科技有限公司,,,朝阳区,6,本科,不限,数据挖掘实习生,3k-4k,陌陌,陌陌,2018-11-07 10:56:05,,,,,拉勾网,,https://www.lagou.com/jobs/2765850.html
北京,海淀区,文化娱乐,新浪网技术（中国）有限公司,,,海淀区,6,硕士,不限,数据挖掘实习生,3k-5k,新浪网,新浪网,2018-11-08 13:39:23,,,,,拉勾网,,https://www.lagou.com/jobs/5221203.html
